#x_He	T[K]	v[A^3/atom]	p[Mbar]]	u[eV/atom]
0	1000	5	0.196052	-3.30965
0	1000	2.5	1.02578	-2.66833
0	1000	1.8457	1.9847	-2.12029
0	1000	1.66667	2.43161	-1.8778
0	1000	1.42857	3.33436	-1.4479
0	1000	1.3287	3.9449	-1.22868
0	1000	1.25	4.53497	-1.0241
0	1000	1	7.51599	-0.141126
0	1000	0.841719	10.9952	0.725671
0	1000	0.531571	29.3193	4.13791
0.03125	1000	5.07937	0.1937	-3.24787
0.03125	1000	2.53968	1.0149	-2.62158
0.03125	1000	1.86727	1.99151	-2.05703
0.03125	1000	1.69312	2.42716	-1.83087
0.03125	1000	1.45125	3.33364	-1.404
0.03125	1000	1.34509	3.94078	-1.16217
0.03125	1000	1.26984	4.50464	-0.970199
0.03125	1000	1.01587	7.44154	-0.0762317
0.03125	1000	0.853098	10.958	0.815472
0.03125	1000	0.539533	29.0996	4.24383
0.0625	1000	5.16129	0.189289	-3.19133
0.0625	1000	2.58065	1.00306	-2.56575
0.0625	1000	1.89004	1.98555	-1.99741
0.0625	1000	1.72043	2.42365	-1.77658
0.0625	1000	1.47465	3.31622	-1.35574
0.0625	1000	1.36281	3.95262	-1.09809
0.0625	1000	1.29032	4.47873	-0.912908
0.0625	1000	1.03226	7.38312	-0.00828404
0.0625	1000	0.865089	10.9054	0.891611
0.0625	1000	0.547347	28.9294	4.35257
0.09375	1000	5.2459	0.185729	-3.13717
0.09375	1000	2.62295	0.985672	-2.51247
0.09375	1000	1.90883	1.98817	-1.93242
0.09375	1000	1.74863	2.39719	-1.72448
0.09375	1000	1.49883	3.29486	-1.30133
0.09375	1000	1.37918	3.97227	-1.03503
0.09375	1000	1.31148	4.44228	-0.857636
0.09375	1000	1.04918	7.31408	0.0524376
0.09375	1000	0.878938	10.8033	0.963303
0.09375	1000	0.558929	28.3745	4.4118
0.125	1000	5.33333	0.184651	-3.07698
0.125	1000	2.66667	0.976041	-2.45421
0.125	1000	1.93249	1.99556	-1.86576
0.125	1000	1.77778	2.371	-1.66877
0.125	1000	1.52381	3.27594	-1.23938
0.125	1000	1.39713	3.97009	-0.968584
0.125	1000	1.33333	4.41019	-0.806188
0.125	1000	1.06667	7.24653	0.118136
0.125	1000	0.89182	10.7581	1.05756
0.125	1000	0.568492	28.076	4.50498
0.15625	1000	5.42373	0.179708	-3.02172
0.15625	1000	2.71186	0.962384	-2.39882
0.15625	1000	1.9558	1.98229	-1.79914
0.15625	1000	1.80791	2.33743	-1.61937
0.15625	1000	1.54964	3.25714	-1.19142
0.15625	1000	1.41551	3.9799	-0.886205
0.15625	1000	1.35593	4.3779	-0.740979
0.15625	1000	1.08475	7.18757	0.188386
0.15625	1000	0.904475	10.7465	1.16037
0.15625	1000	0.576856	27.9472	4.63224
0.1875	1000	5.51724	0.178497	-2.96647
0.1875	1000	2.75862	0.950018	-2.34267
0.1875	1000	1.83908	2.32169	-1.5586
0.1875	1000	1.57635	3.23393	-1.1277
0.1875	1000	1.37931	4.32003	-0.687528
0.1875	1000	1.10345	7.16462	0.236082
0.21875	1000	5.61404	0.171402	-2.90233
0.21875	1000	2.80702	0.931266	-2.28008
0.21875	1000	1.99918	2.00352	-1.64275
0.21875	1000	1.87135	2.30396	-1.48512
0.21875	1000	1.60401	3.20981	-1.05771
0.21875	1000	1.44898	3.99436	-0.731462
0.21875	1000	1.40351	4.27793	-0.623632
0.21875	1000	1.12281	7.05062	0.311821
0.21875	1000	0.92746	10.7718	1.36287
0.21875	1000	0.592404	27.8673	4.93904
0.25	1000	5.71429	0.163057	-2.83054
0.25	1000	2.85714	0.913973	-2.22312
0.25	1000	2.02562	1.99243	-1.57184
0.25	1000	1.90476	2.28835	-1.42125
0.25	1000	1.63265	3.16634	-0.993039
0.25	1000	1.47159	3.9736	-0.6512
0.25	1000	1.42857	4.25944	-0.540188
0.25	1000	1.14286	7.0175	0.405316
0.25	1000	0.943802	10.6537	1.45406
0.25	1000	0.60326	27.6079	5.04413
0.28125	1000	5.81818	0.16489	-2.76902
0.28125	1000	2.90909	0.900286	-2.15241
0.28125	1000	2.0471	1.99767	-1.49004
0.28125	1000	1.93939	2.25053	-1.35727
0.28125	1000	1.66234	3.15747	-0.917696
0.28125	1000	1.48908	3.98807	-0.563099
0.28125	1000	1.45455	4.19462	-0.477216
0.28125	1000	1.16364	6.93658	0.475757
0.28125	1000	0.959486	10.5733	1.54684
0.28125	1000	0.617988	26.9728	5.09502
0.3125	1000	5.92593	0.156868	-2.69442
0.3125	1000	2.96296	0.886838	-2.08933
0.3125	1000	2.07572	1.99661	-1.40685
0.3125	1000	1.97531	2.21535	-1.29065
0.3125	1000	1.69312	3.09452	-0.856188
0.3125	1000	1.50939	3.99575	-0.465441
0.3125	1000	1.48148	4.16244	-0.400435
0.3125	1000	1.18519	6.82904	0.547379
0.3125	1000	0.969371	10.6856	1.67425
0.3125	1000	0.620502	27.6263	5.3666
0.34375	1000	6.03774	0.153547	-2.62209
0.34375	1000	3.01887	0.872307	-2.01548
0.34375	1000	2.09968	1.99198	-1.32301
0.34375	1000	2.01258	2.19701	-1.21927
0.34375	1000	1.72507	3.06587	-0.778622
0.34375	1000	1.52624	4.01222	-0.372668
0.34375	1000	1.50943	4.09546	-0.335244
0.34375	1000	1.20755	6.79489	0.673333
0.34375	1000	0.979331	10.754	1.81774
0.34375	1000	0.6261	27.7997	5.61116
0.375	1000	6.15385	0.154173	-2.54562
0.375	1000	3.07692	0.857361	-1.94373
0.375	1000	2.12762	1.98679	-1.23935
0.375	1000	2.05128	2.14835	-1.15336
0.375	1000	1.75824	3.0271	-0.704054
0.375	1000	1.55269	3.95345	-0.291994
0.375	1000	1.53846	4.08031	-0.246374
0.375	1000	1.23077	6.71103	0.727089
0.375	1000	1.00544	10.4661	1.86554
0.375	1000	0.65111	26.5012	5.50857
0.40625	1000	6.27451	0.139556	-2.4774
0.40625	1000	3.13725	0.835604	-1.87059
0.40625	1000	2.15213	2.0085	-1.13934
0.40625	1000	2.0915	2.10323	-1.07608
0.40625	1000	1.79272	2.98902	-0.636952
0.40625	1000	1.56863	3.99143	-0.172651
0.40625	1000	1.5669	4.02286	-0.167371
0.40625	1000	1.2549	6.61139	0.794092
0.40625	1000	1.00499	10.7986	2.10288
0.40625	1000	0.640485	28.2379	6.02019
0.4375	1000	6.4	0.14278	-2.38152
0.4375	1000	3.2	0.822058	-1.79029
0.4375	1000	2.18514	1.99623	-1.04799
0.4375	1000	2.13333	2.10556	-0.986515
0.4375	1000	1.82857	2.96681	-0.546399
0.4375	1000	1.60099	3.99882	-0.0720652
0.4375	1000	1.6	4.00597	-0.0777219
0.4375	1000	1.28	6.56823	0.906645
0.4375	1000	1.04183	10.3184	2.09843
0.4375	1000	0.677645	25.8518	5.77488
0.46875	1000	6.53061	0.133338	-2.30064
0.46875	1000	3.26531	0.80769	-1.70543
0.46875	1000	2.21706	1.99565	-0.948357
0.46875	1000	2.17687	2.08481	-0.900493
0.46875	1000	1.86589	2.92883	-0.462063
0.46875	1000	1.63265	3.92167	0.00626423
0.46875	1000	1.62088	4.01446	0.0470833
0.46875	1000	1.30612	6.46869	0.994716
0.46875	1000	1.04703	10.531	2.30306
0.46875	1000	0.673004	27.1837	6.19966
0.5	1000	6.66667	0.136024	-2.21156
0.5	1000	3.33333	0.780105	-1.62857
0.5	1000	2.23554	2.01026	-0.836646
0.5	1000	2.22222	2.04494	-0.818191
0.5	1000	1.90476	2.90029	-0.364944
0.5	1000	1.66667	3.85459	0.089467
0.5	1000	1.64672	3.99232	0.143446
0.5	1000	1.33333	6.37536	1.08319
0.5	1000	1.08286	10.1071	2.31484
0.5	1000	0.713962	24.7262	5.91869
0.53125	1000	6.80851	0.122725	-2.11472
0.53125	1000	3.40426	0.766788	-1.53994
