model_name,pressure_gpa,mean_temp_k,std_temp_k,upper_bound_k,lower_bound_k
Model 1: Linear,150,3046.0606060606065,107.67430398758232,3153.734910048189,2938.386302073024
Model 1: Linear,200,3401.2121212121215,81.97739839471951,3483.189519606841,3319.234722817402
Model 1: Linear,400,3601.090909090909,172.30971325467993,3773.400622345589,3428.781195836229
Model 1: Linear,600,3892.4848484848485,258.4613936568076,4150.9462421416565,3634.023454828041
Model 1: Linear,800,4192.484848484849,339.83209812018055,4532.316946605029,3852.6527503646685
Model 1: Linear,1000,4494.060606060606,422.82401847208,4916.884624532686,4071.236587588526
Model 2: Interaction,150,2987.030303030303,106.15933067535725,3093.18963370566,2880.870972354946
Model 2: Interaction,200,3443.3939393939395,74.57609619072764,3517.970035584667,3368.817843203212
Model 2: Interaction,400,4240.848484848484,127.83891378914271,4368.687398637627,4113.009571059341
Model 2: Interaction,600,4960.606060606061,159.19332922515565,5119.799389831217,4801.412731380905
Model 2: Interaction,800,5499.151515151516,175.8025438816563,5674.954059033173,5323.348971269859
Model 2: Interaction,1000,5919.272727272727,184.00479093056097,6103.277518203288,5735.267936342166
Model 3: T-Quadratic,150,2675.151515151515,216.8680987792716,2892.019613930787,2458.283416372243
Model 3: T-Quadratic,200,3198.060606060606,130.4111742917964,3328.471780352402,3067.64943176881
Model 3: T-Quadratic,400,3359.151515151515,240.26709961038833,3599.4186147619034,3118.8844155411266
Model 3: T-Quadratic,600,4262.909090909091,310.0979199003729,4573.007010809464,3952.8111710087182
Model 3: T-Quadratic,800,4981.212121212121,328.00087347864616,5309.212994690767,4653.211247733475
Model 3: T-Quadratic,1000,5570.424242424243,353.413141358451,5923.837383782694,5217.011101065792
Model 4: P-Quadratic,150,3075.636363636364,94.67931471786943,3170.3156783542336,2980.9570489184944
Model 4: P-Quadratic,200,3469.4545454545455,76.31272954456406,3545.7672749991098,3393.1418159099812
Model 4: P-Quadratic,400,3965.5757575757575,161.59644324155022,4127.172200817307,3803.979314334207
Model 4: P-Quadratic,600,4259.757575757576,210.2620167849613,4470.019592542537,4049.4955589726146
Model 4: P-Quadratic,800,4312.242424242424,238.61319560456158,4550.855619846986,4073.6292286378625
Model 4: P-Quadratic,1000,4316.242424242425,243.6821606286184,4559.924584871043,4072.5602636138065
Model 5: Full-Quadratic,150,2783.6363636363635,167.61822027630245,2951.254583912666,2616.018143360061
Model 5: Full-Quadratic,200,3304.4848484848485,110.45317786076083,3414.938026345609,3194.031670624088
Model 5: Full-Quadratic,400,3895.3939393939395,209.23511935112765,4104.629058745068,3686.158820042812
Model 5: Full-Quadratic,600,4606.181818181818,201.06233928599158,4807.24415746781,4405.119478895826
Model 5: Full-Quadratic,800,4959.636363636363,246.52921492357785,5206.1655785599405,4713.107148712786
Model 5: Full-Quadratic,1000,5080.606060606061,320.1761452758046,5400.782205881866,4760.429915330256
Model 6: Full-Quad+Interact,150,2527.2727272727275,273.07721656617537,2800.3499438389026,2254.1955107065523
Model 6: Full-Quad+Interact,200,3102.3030303030305,223.01594156660073,3325.3189718696312,2879.2870887364297
Model 6: Full-Quad+Interact,400,3425.575757575758,434.429704375837,3860.005461951595,2991.146053199921
Model 6: Full-Quad+Interact,600,3833.5757575757575,701.3288816123679,4534.904639188126,3132.2468759633894
Model 6: Full-Quad+Interact,800,3971.3939393939395,849.8543406768654,4821.248280070805,3121.539598717074
Model 6: Full-Quad+Interact,1000,4027.3939393939395,931.4654587403907,4958.85939813433,3095.928480653549
Model 7: Quad+1/T,150,2282.424242424242,426.31700548344423,2708.741247907686,2000.0
Model 7: Quad+1/T,200,2667.5151515151515,632.9368165734277,3300.451968088579,2034.5783349417238
Model 7: Quad+1/T,400,3507.3939393939395,794.8124184564549,4302.206357850395,2712.5815209374846
Model 7: Quad+1/T,600,4674.909090909091,243.9158957249974,4918.824986634088,4430.993195184094
Model 7: Quad+1/T,800,5014.666666666666,243.9304421470609,5258.597108813727,4770.7362245196055
Model 7: Quad+1/T,1000,5115.030303030304,306.6426868094809,5421.672989839784,4808.3876162208235
Model 8: Full-Complex,150,2303.878787878788,421.41832319220583,2725.2971110709937,2000.0
Model 8: Full-Complex,200,2625.090909090909,596.5785643744456,3221.6694734653547,2028.5123447164633
Model 8: Full-Complex,400,3022.909090909091,793.0254188661676,3815.9345097752584,2229.8836720429235
Model 8: Full-Complex,600,3695.2727272727275,1014.5157955188321,4709.788522791559,2680.7569317538955
Model 8: Full-Complex,800,3858.424242424242,1149.7643851738242,5008.188627598066,2708.659857250418
Model 8: Full-Complex,1000,3918.4242424242425,1225.5952381544898,5144.019480578732,2692.8290042697527
