model_name,pressure_gpa,mean_temp_k,std_temp_k,upper_bound_k,lower_bound_k
Model 1: Linear,150,3351.272727272727,376.8526759808658,3728.1254032535926,2974.4200512918615
Model 1: Linear,200,3868.0,261.31205288068185,4129.312052880682,3606.6879471193183
Model 1: Linear,400,3961.6969696969695,215.51037933155956,4177.207349028529,3746.1865903654098
Model 1: Linear,600,4203.151515151515,261.1839681095086,4464.335483261024,3941.9675470420066
Model 1: Linear,800,4517.818181818182,364.70582129732213,4882.5240031155045,4153.1123605208595
Model 1: Linear,1000,4855.393939393939,473.42995172667224,5328.823891120612,4381.963987667266
Model 2: Interaction,150,3363.0303030303025,365.72079351090264,3728.7510965412052,2997.3095095194
Model 2: Interaction,200,3880.242424242425,256.1810654439766,4136.423489686402,3624.0613587984485
Model 2: Interaction,400,5115.515151515152,357.5303720555063,5473.045523570659,4757.984779459645
Model 2: Interaction,600,5928.848484848484,420.37948661180377,6349.227971460288,5508.46899823668
Model 2: Interaction,800,6500.363636363637,420.42640473668683,6920.790041100324,6079.93723162695
Model 2: Interaction,1000,6925.939393939395,401.305106866411,7327.244500805806,6524.634287072984
Model 3: T-Quadratic,150,3216.4848484848485,460.63323683784057,3677.1180853226892,2755.8516116470078
Model 3: T-Quadratic,200,3849.8181818181815,282.4627103467916,4132.280892164973,3567.35547147139
Model 3: T-Quadratic,400,3935.3939393939395,251.74246026317692,4187.136399657116,3683.6514791307627
Model 3: T-Quadratic,600,4144.606060606061,366.9195421522587,4511.52560275832,3777.6865184538024
Model 3: T-Quadratic,800,4400.484848484849,540.3611892762406,4940.84603776109,3860.1236592086084
Model 3: T-Quadratic,1000,4676.0,714.8799792669099,5390.87997926691,3961.1200207330903
Model 4: P-Quadratic,150,3308.6060606060605,374.1585527413903,3682.764613347451,2934.44750786467
Model 4: P-Quadratic,200,3814.3030303030305,268.34118873569236,4082.644219038723,3545.961841567338
Model 4: P-Quadratic,400,4305.090909090909,301.8938933880806,4606.98480247899,4003.1970157028286
Model 4: P-Quadratic,600,4648.606060606061,379.5758882131003,5028.181948819161,4269.030172392961
Model 4: P-Quadratic,800,4756.121212121212,384.78607940701,5140.907291528222,4371.335132714202
Model 4: P-Quadratic,1000,4802.545454545455,390.5562701886307,5193.101724734086,4411.989184356824
Model 5: Full-Quadratic,150,3219.3939393939395,446.7024367898346,3666.0963761837743,2772.6915026041047
Model 5: Full-Quadratic,200,3863.3939393939395,298.32396217794854,4161.717901571888,3565.069977215991
Model 5: Full-Quadratic,400,4382.545454545455,371.8400675191852,4754.38552206464,4010.70538702627
Model 5: Full-Quadratic,600,4769.939393939395,521.0866092712419,5291.026003210637,4248.852784668153
Model 5: Full-Quadratic,800,4905.333333333334,567.1450128183604,5472.4783461516945,4338.188320514973
Model 5: Full-Quadratic,1000,4966.909090909091,595.5571166187071,5562.466207527798,4371.351974290384
Model 6: Full-Quad+Interact,150,3109.8181818181815,530.8158766931289,3640.6340585113103,2579.0023051250528
Model 6: Full-Quad+Interact,200,3798.909090909091,329.2023696507283,4128.1114605598195,3469.7067212583624
Model 6: Full-Quad+Interact,400,5007.636363636363,305.33742343309365,5312.973787069457,4702.298940203269
Model 6: Full-Quad+Interact,600,5804.727272727273,376.15187523327063,6180.879147960543,5428.575397494003
Model 6: Full-Quad+Interact,800,6325.333333333333,446.8297716264595,6772.163104959793,5878.503561706873
Model 6: Full-Quad+Interact,1000,6682.545454545455,550.2995461109832,7232.845000656438,6132.245908434472
Model 7: Quad+1/T,150,3227.3939393939395,542.4987116647773,3769.8926510587166,2684.8952277291623
Model 7: Quad+1/T,200,3922.060606060606,285.3007627969566,4207.361368857562,3636.7598432636496
Model 7: Quad+1/T,400,4572.969696969697,387.36653674842665,4960.336233718123,4185.603160221271
Model 7: Quad+1/T,600,5237.939393939395,510.1162978007172,5748.055691740112,4727.823096138678
Model 7: Quad+1/T,800,5532.484848484849,546.4509552234733,6078.935803708322,4986.033893261376
Model 7: Quad+1/T,1000,5625.69696969697,568.8614892391591,6194.558458936129,5056.835480457811
Model 8: Full-Complex,150,3104.6060606060605,561.013525958635,3665.6195865646955,2543.5925346474255
Model 8: Full-Complex,200,3800.1212121212125,326.6278494955929,4126.749061616805,3473.4933626256197
Model 8: Full-Complex,400,4797.575757575758,466.5580353689233,5264.133792944681,4331.017722206835
Model 8: Full-Complex,600,5528.121212121212,673.3445270869461,6201.465739208158,4854.776685034266
Model 8: Full-Complex,800,5945.454545454545,843.626785037925,6789.08133049247,5101.82776041662
Model 8: Full-Complex,1000,6189.696969696971,988.3826564049441,7178.079626101915,5201.314313292027
