model_name,pressure_gpa,mean_temp_k,std_temp_k,upper_bound_k,lower_bound_k
Model 1: Linear,150,2581.3333333333335,330.91983554539627,2912.25316887873,2250.413497787937
Model 1: Linear,200,2966.424242424242,284.82968345429845,3251.2539258785405,2681.5945589699436
Model 1: Linear,400,3009.6969696969695,249.564542700621,3259.2615123975906,2760.1324269963484
Model 1: Linear,600,3036.242424242424,244.9294495598845,3281.1718738023087,2791.3129746825393
Model 1: Linear,800,3071.7575757575755,252.69270892198773,3324.450284679563,2819.064866835588
Model 1: Linear,1000,3115.7575757575755,272.9958273730304,3388.753403130606,2842.761748384545
Model 2: Interaction,150,2425.090909090909,323.48994531503837,2748.5808544059473,2101.6009637758707
Model 2: Interaction,200,2983.2727272727275,319.42225163457556,3302.6949789073033,2663.8504756381517
Model 2: Interaction,400,3781.939393939394,212.38421790399678,3994.3236118433906,3569.5551760353974
Model 2: Interaction,600,4586.060606060606,282.3819710854839,4868.44257714609,4303.678634975122
Model 2: Interaction,800,5205.454545454545,324.55606467674784,5530.010610131293,4880.898480777797
Model 2: Interaction,1000,5697.939393939395,345.6126379351009,6043.552031874496,5352.326756004294
Model 3: T-Quadratic,150,2068.848484848485,173.438239074278,2242.286723922763,2000.0
Model 3: T-Quadratic,200,2345.939393939394,360.54614220811885,2706.485536147513,2000.0
Model 3: T-Quadratic,400,2346.1818181818185,360.4560727036569,2706.6378908854754,2000.0
Model 3: T-Quadratic,600,2354.1818181818185,358.6509976402635,2712.832815822082,2000.0
Model 3: T-Quadratic,800,2397.575757575758,364.4153272876528,2761.991084863411,2033.160430288105
Model 3: T-Quadratic,1000,2527.151515151515,416.51312212211053,2943.6646372736254,2110.6383930294046
Model 4: P-Quadratic,150,2600.0,314.4631176173094,2914.4631176173093,2285.5368823826907
Model 4: P-Quadratic,200,3054.6666666666665,291.94509968568866,3346.611766352355,2762.721566980978
Model 4: P-Quadratic,400,3190.3030303030305,240.18970158114232,3430.492731884173,2950.113328721888
Model 4: P-Quadratic,600,3263.3939393939395,265.3568659359641,3528.7508053299034,2998.0370734579756
Model 4: P-Quadratic,800,3270.1818181818185,266.6131902302942,3536.7950084121126,3003.5686279515244
Model 4: P-Quadratic,1000,3272.9696969696975,267.7113421543622,3540.6810391240597,3005.258354815335
Model 5: Full-Quadratic,150,2066.3030303030305,166.34309085475957,2232.64612115779,2000.0
Model 5: Full-Quadratic,200,2408.363636363636,380.6010229351998,2788.9646592988356,2027.7626134284362
Model 5: Full-Quadratic,400,2422.787878787879,378.75356935526986,2801.541448143149,2044.034309432609
Model 5: Full-Quadratic,600,2504.0,388.1256032912686,2892.125603291269,2115.874396708731
Model 5: Full-Quadratic,800,2572.121212121212,403.2849503116154,2975.4061624328274,2168.8362618095966
Model 5: Full-Quadratic,1000,2614.1818181818185,417.02978777718056,3031.211605958999,2197.152030404638
Model 6: Full-Quad+Interact,150,2099.5151515151515,209.50627167129184,2309.0214231864434,2000.0
Model 6: Full-Quad+Interact,200,2480.6060606060605,385.1280301830685,2865.734090789129,2095.478030422992
Model 6: Full-Quad+Interact,400,2555.3939393939395,390.5453040648282,2945.9392434587676,2164.8486353291114
Model 6: Full-Quad+Interact,600,2771.2727272727275,548.6737461425984,3319.9464734153257,2222.5989811301292
Model 6: Full-Quad+Interact,800,2990.9090909090914,743.4649477670824,3734.3740386761738,2247.444143142009
Model 6: Full-Quad+Interact,1000,3162.1818181818185,912.3920346961843,4074.573852878003,2249.789783485634
Model 7: Quad+1/T,150,2023.1515151515152,131.83839622086577,2154.989911372381,2000.0
Model 7: Quad+1/T,200,2245.4545454545455,431.26439769154774,2676.7189431460934,2000.0
Model 7: Quad+1/T,400,2254.5454545454545,435.08229381062097,2689.6277483560752,2000.0
Model 7: Quad+1/T,600,2354.545454545454,492.72205446564,2847.2675090110943,2000.0
Model 7: Quad+1/T,800,2436.7272727272725,535.668318356698,2972.3955910839704,2000.0
Model 7: Quad+1/T,1000,2474.1818181818185,554.5140709781529,3028.6958891599716,2000.0
Model 8: Full-Complex,150,2023.7575757575758,145.2819177634211,2169.039493520997,2000.0
Model 8: Full-Complex,200,2303.2727272727275,482.0981995536344,2785.370926826362,2000.0
Model 8: Full-Complex,400,2481.6969696969695,584.4677548623441,3066.1647245593135,2000.0
Model 8: Full-Complex,600,3019.0303030303025,865.7876534056809,3884.8179564359834,2153.2426496246217
Model 8: Full-Complex,800,3412.8484848484854,1066.9535702309013,4479.802055079386,2345.894914617584
Model 8: Full-Complex,1000,3675.6363636363635,1226.370930933521,4902.007294569885,2449.265432702842
