method,x_he,temperature_K,volume_A3,pressure_GPa_used,energy_eV_per_atom,rho_invA3_used,density_g_cm3
vdW-DF,0,1000,320.0,19.6052,-3.30965,0.2,0.3347646759422475
vdW-DF,0,1000,160.0,102.57799999999999,-2.66833,0.4,0.669529351884495
vdW-DF,0,1000,118.1248,198.47,-2.12029,0.5417998591320367,0.9068772713394581
vdW-DF,0,1000,106.66688,243.161,-1.8778,0.5999988000023999,1.004292019242704
vdW-DF,0,1000,91.42848,333.43600000000004,-1.4479,0.7000007000007,1.1716775374754038
vdW-DF,0,1000,85.0368,394.49,-1.22868,0.7526153383005946,1.2597451491768177
vdW-DF,0,1000,80.0,453.497,-1.0241,0.8,1.33905870376899
vdW-DF,0,1000,64.0,751.599,-0.141126,1.0,1.6738233797112376
vdW-DF,0,1000,53.870016,1099.52,0.725671,1.188044941364042,1.9885773990027997
vdW-DF,0,1000,34.020544,2931.93,4.13791,1.881216243926023,3.148823731375936
vdW-DF,0,2000,320.0,23.6291,-3.09459,0.2,0.3347646759422475
vdW-DF,0,2000,225.56864,52.254999999999995,-2.83893,0.28372738338095227,0.47490952776733153
vdW-DF,0,2000,163.44256,103.66,-2.46553,0.3915748749897212,0.6554271806653006
vdW-DF,0,2000,160.0,109.60399999999998,-2.42538,0.4,0.669529351884495
vdW-DF,0,2000,135.4432,152.28900000000002,-2.11549,0.47252279922506263,0.7909197087895089
vdW-DF,0,2000,106.66688,241.791,-1.56629,0.5999988000023999,1.004292019242704
vdW-DF,0,2000,91.42848,345.40999999999997,-1.17021,0.7000007000007,1.1716775374754038
vdW-DF,0,2000,80.0,469.38199999999995,-0.757648,0.8,1.33905870376899
vdW-DF,0,2000,64.0,776.678,0.118616,1.0,1.6738233797112376
vdW-DF,0,3000,320.0,26.8152,-2.90221,0.2,0.3347646759422475
vdW-DF,0,3000,162.01984,102.518,-2.11276,0.3950133514512791,0.6611825829572429
vdW-DF,0,3000,99.04512,300.055,-1.17113,0.6461701495237726,1.0815747035443968
vdW-DF,0,3000,79.17312,499.706,-0.512993,0.8083551589226242,1.3530437641148816
vdW-DF,0,3000,68.08512,699.2270000000001,0.0595871,0.9399998120000376,1.573393662249831
vdW-DF,0,3000,60.708608,899.198,0.578904,1.05421623239986,1.7645717770619813
vdW-DF,0,3000,42.666688,1906.61,2.7282,1.499999250000375,2.5107338141999493
vdW-DF,0,4000,320.0,29.235899999999997,-2.69238,0.2,0.3347646759422475
vdW-DF,0,4000,270.45696,41.2765,-2.57047,0.23663654283476382,0.3960877778908674
vdW-DF,0,4000,164.37888,102.105,-1.89814,0.3893444218624679,0.651693796073554
vdW-DF,0,4000,118.0,211.473,-1.36828,0.5423728813559322,0.9078364093349085
vdW-DF,0,4000,117.00032,215.76,-1.34844,0.5470070509208863,0.9155931906982749
vdW-DF,0,4000,88.0,409.548,-0.663229,0.7272727272727273,1.2173260943354456
vdW-DF,0,4000,87.00032,420.605,-0.622983,0.7356294781444482,1.2313138193229543
vdW-DF,0,4000,84.0,454.309,-0.519924,0.7619047619047619,1.2752940035895144
vdW-DF,0,4000,80.0,506.273,-0.359972,0.8,1.33905870376899
vdW-DF,0,4000,76.0,566.7950000000001,-0.179959,0.8421052631578947,1.4095354776515685
vdW-DF,0,4000,72.0,638.4000000000001,0.0231939,0.8888888888888888,1.4878430041877668
vdW-DF,0,4000,68.0,723.458,0.255529,0.9411764705882353,1.5753631809046944
vdW-DF,0,4000,64.0,824.938,0.521664,1.0,1.6738233797112376
vdW-DF,0,4000,60.0,947.9279999999999,0.83011,1.0666666666666667,1.78541160502532
vdW-DF,0,4000,59.0,984.057,0.922737,1.0847457627118644,1.815672818669817
vdW-DF,0,4000,58.0,1020.75,1.01022,1.103448275862069,1.8469775224399865
vdW-DF,0,4000,56.0,1098.38,1.18663,1.1428571428571428,1.9129410053842717
vdW-DF,0,4000,52.0,1285.58,1.60759,1.2307692307692308,2.060090313490754
vdW-DF,0,4000,48.555392,1484.84,2.03134,1.318082243059638,2.206236874815452
vdW-DF,0,4000,48.0,1520.94,2.10642,1.3333333333333333,2.2317645062816505
vdW-DF,0,4000,45.255104,1719.5,2.50235,1.414205124796531,2.3671296015918823
vdW-DF,0,4000,44.0,1823.4,2.7034,1.4545454545454546,2.434652188670891
vdW-DF,0,4000,41.855488,2022.25,3.07649,1.5290706919962322,2.5593942734945343
vdW-DF,0,4000,40.0,2220.2999999999997,3.43187,1.6,2.67811740753798
vdW-DF,0,4000,39.0,2341.99,3.65232,1.641025641025641,2.7467870846543385
vdW-DF,0,4000,38.0,2471.27,3.87698,1.6842105263157894,2.819070955303137
vdW-DF,0,4000,36.0,2754.87,4.33482,1.7777777777777777,2.9756860083755337
vdW-DF,0,4000,34.0,3094.77,4.86896,1.8823529411764706,3.150726361809389
vdW-DF,0,4000,32.0,3498.8,5.47493,2.0,3.3476467594224752
vdW-DF,0,4000,30.0,3984.45,6.16251,2.1333333333333333,3.57082321005064
vdW-DF,0,4000,28.0,4575.34,6.95053,2.2857142857142856,3.8258820107685434
vdW-DF,0,4000,24.0,6221.2699999999995,8.93231,2.6666666666666665,4.463529012563301
vdW-DF,0,4000,22.0,7394.86,10.2004,2.909090909090909,4.869304377341782
vdW-DF,0,4000,20.0,8931.81,11.7207,3.2,5.35623481507596
vdW-DF,0,4000,18.0,11002.5,13.5789,3.5555555555555554,5.951372016751067
vdW-DF,0,4000,16.0,13899.100000000002,15.9051,4.0,6.6952935188449505
vdW-DF,0,4000,14.0,18144.399999999998,18.9013,4.571428571428571,7.651764021537087
vdW-DF,0,4000,12.0,24767.4,22.9087,5.333333333333333,8.927058025126602
vdW-DF,0,6000,320.0,30.8746,-2.10514,0.2,0.3347646759422475
vdW-DF,0,6000,270.56384,41.6636,-1.97737,0.2365430650304194,0.3959313125564717
vdW-DF,0,6000,174.08384,100.59499999999998,-1.58703,0.36763894914082773,0.6153626683643881
vdW-DF,0,6000,124.0,209.58999999999997,-1.11012,0.5161290322580645,0.8639088411412839
vdW-DF,0,6000,123.00032,213.29699999999997,-1.0959,0.5203238495639686,0.8709302244215236
vdW-DF,0,6000,90.99968,410.369,-0.406931,0.7032991764366644,1.1771986044513476
vdW-DF,0,6000,90.0,420.83899999999994,-0.370662,0.7111111111111111,1.1902744033502135
vdW-DF,0,6000,88.0,441.53700000000003,-0.308748,0.7272727272727273,1.2173260943354456
vdW-DF,0,6000,85.00032,475.44100000000003,-0.203664,0.7529383418791835,1.26028580011839
vdW-DF,0,6000,84.0,487.607,-0.165535,0.7619047619047619,1.2752940035895144
vdW-DF,0,6000,80.0,541.024,-0.00804885,0.8,1.33905870376899
vdW-DF,0,6000,76.0,604.225,0.176196,0.8421052631578947,1.4095354776515685
vdW-DF,0,6000,72.0,677.6189999999999,0.379923,0.8888888888888888,1.4878430041877668
vdW-DF,0,6000,68.0,765.172,0.615803,0.9411764705882353,1.5753631809046944
vdW-DF,0,6000,64.0,869.8159999999999,0.886073,1.0,1.6738233797112376
vdW-DF,0,6000,60.0,995.897,1.19691,1.0666666666666667,1.78541160502532
vdW-DF,0,6000,59.0,1031.8,1.28218,1.0847457627118644,1.815672818669817
vdW-DF,0,6000,56.0,1149.8799999999999,1.55669,1.1428571428571428,1.9129410053842717
vdW-DF,0,6000,52.0,1341.1799999999998,1.98003,1.2307692307692308,2.060090313490754
vdW-DF,0,6000,48.600768,1542.22,2.40275,1.3168516184764816,2.204177026616518
vdW-DF,0,6000,48.0,1581.93,2.48209,1.3333333333333333,2.2317645062816505
vdW-DF,0,6000,45.278976,1783.06,2.88069,1.413459526999904,2.3658816025680265
vdW-DF,0,6000,44.0,1890.62,3.08468,1.4545454545454546,2.434652188670891
vdW-DF,0,6000,41.865984,2091.0,3.45548,1.5286873467490936,2.5587526212573724
vdW-DF,0,6000,40.022784,2291.99,3.81493,1.5990891588151388,2.676592820267556
vdW-DF,0,6000,40.0,2294.54,3.81884,1.6,2.67811740753798
vdW-DF,0,6000,39.852928,2298.0499999999997,3.81574,1.6059045899964992,2.68800064832173
vdW-DF,0,6000,39.0,2415.06,4.02688,1.641025641025641,2.7467870846543385
vdW-DF,0,6000,38.0,2545.55,4.24787,1.6842105263157894,2.819070955303137
vdW-DF,0,6000,37.0,2685.3,4.47754,1.7297297297297298,2.895262062203222
vdW-DF,0,6000,36.0,2838.2000000000003,4.72573,1.7777777777777777,2.9756860083755337
vdW-DF,0,6000,34.0,3183.5,5.26498,1.8823529411764706,3.150726361809389
vdW-DF,0,6000,32.0,3592.88,5.87129,2.0,3.3476467594224752
vdW-DF,0,6000,30.0,4086.15,6.56495,2.1333333333333333,3.57082321005064
vdW-DF,0,6000,28.0,4685.06,7.35506,2.2857142857142856,3.8258820107685434
vdW-DF,0,6000,24.0,6355.33,9.3514,2.6666666666666665,4.463529012563301
vdW-DF,0,6000,22.0,7542.33,10.6205,2.909090909090909,4.869304377341782
vdW-DF,0,6000,20.0,9098.269999999999,12.1503,3.2,5.35623481507596
vdW-DF,0,6000,18.0,11194.8,14.0186,3.5555555555555554,5.951372016751067
vdW-DF,0,8000,320.0,34.9923,-1.65917,0.2,0.3347646759422475
vdW-DF,0,8000,184.68608,100.556,-1.30473,0.3465339672594708,0.5800366562629907
vdW-DF,0,8000,130.0,208.42499999999998,-0.857659,0.49230769230769234,0.8240361253963016
vdW-DF,0,8000,129.00032,211.70499999999998,-0.844324,0.49612280031553413,0.8304219423759508
vdW-DF,0,8000,128.0,215.204,-0.831347,0.5,0.8369116898556188
vdW-DF,0,8000,126.99968,218.91699999999997,-0.817733,0.5039382776397547,0.8435036710448341
vdW-DF,0,8000,126.0,222.34199999999998,-0.805395,0.5079365079365079,0.8501960023930096
vdW-DF,0,8000,124.99968,226.15699999999998,-0.789913,0.5120013107233554,0.8569997643315503
vdW-DF,0,8000,94.0,411.16,-0.157502,0.6808510638297872,1.139624428739566
vdW-DF,0,8000,93.00032,420.306,-0.12932,0.6881696751150964,1.151874491415935
vdW-DF,0,8000,77.15456,620.1279999999999,0.466563,0.8295037908323241,1.3884428386542442
vdW-DF,0,8000,67.40672,820.036,1.00264,0.9494602318581885,1.5892287341902884
vdW-DF,0,8000,61.0,1007.22,1.46852,1.0491803278688525,1.756142562319987
vdW-DF,0,8000,60.0,1041.45,1.54898,1.0666666666666667,1.78541160502532
vdW-DF,0,8000,59.0,1078.29,1.63726,1.0847457627118644,1.815672818669817
vdW-DF,0,8000,58.0,1116.85,1.72704,1.103448275862069,1.8469775224399865
vdW-DF,0,8000,57.0,1157.57,1.82137,1.1228070175438596,1.879380636868758
vdW-DF,0,8000,56.0,1199.87,1.91673,1.1428571428571428,1.9129410053842717
vdW-DF,0,8000,51.910784,1399.23,2.35004,1.2328844811898816,2.063630869098783
vdW-DF,0,8000,48.598016,1599.69,2.76646,1.3169261889209634,2.2043018443699265
vdW-DF,0,8000,45.840576,1799.4099999999999,3.15874,1.396143015305916,2.3368968204395864
vdW-DF,0,8000,43.498304,1999.2,3.53692,1.4713217324519137,2.4627327148552554
vdW-DF,0,8000,41.476096,2199.36,3.89755,1.5430574758048587,2.5828056792403804
vdW-DF,0,8000,40.0,2364.5,4.18713,1.6,2.67811740753798
vdW-DF,0,8000,39.0,2487.23,4.39782,1.641025641025641,2.7467870846543385
vdW-DF,0,8000,38.0,2619.4,4.6191,1.6842105263157894,2.819070955303137
vdW-DF,0,10000,320.0,40.6535,-1.27927,0.2,0.3347646759422475
vdW-DF,0,10000,265.6864,56.694,-1.211,0.24088549507991378,0.40319977349807595
vdW-DF,0,10000,177.12384,122.728,-0.932813,0.3613291130092934,0.6048011171252792
vdW-DF,0,10000,136.0,207.60999999999999,-0.602819,0.47058823529411764,0.7876815904523472
vdW-DF,0,10000,134.99968,210.62099999999998,-0.59212,0.47407519780787627,0.7935181498320529
vdW-DF,0,10000,118.0,276.476,-0.3561,0.5423728813559322,0.9078364093349085
vdW-DF,0,10000,106.27456,341.665,-0.133644,0.6022137376997845,1.0079994337451899
vdW-DF,0,10000,97.00032,411.42,0.0922486,0.6597916378007825,1.1043746690889185
vdW-DF,0,10000,96.0,420.006,0.120186,0.6666666666666666,1.1158822531408252
vdW-DF,0,10000,88.0,501.33400000000006,0.369143,0.7272727272727273,1.2173260943354456
vdW-DF,0,10000,87.00032,513.105,0.405199,0.7356294781444482,1.2313138193229543
vdW-DF,0,10000,86.0,525.456,0.440891,0.7441860465116279,1.2456360035060374
vdW-DF,0,10000,84.0,550.644,0.514861,0.7619047619047619,1.2752940035895144
