pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHH,vdW-DF,0.5,1000,64.0,0.2145,0.0
gHH,vdW-DF,0.5,1000,64.0,0.2435,0.0
gHH,vdW-DF,0.5,1000,64.0,0.2725,0.0
gHH,vdW-DF,0.5,1000,64.0,0.3015,0.0
gHH,vdW-DF,0.5,1000,64.0,0.3305,0.0
gHH,vdW-DF,0.5,1000,64.0,0.3595,0.0
gHH,vdW-DF,0.5,1000,64.0,0.3885,0.0
gHH,vdW-DF,0.5,1000,64.0,0.4175,0.0
gHH,vdW-DF,0.5,1000,64.0,0.4465,0.0
gHH,vdW-DF,0.5,1000,64.0,0.4755,0.0
gHH,vdW-DF,0.5,1000,64.0,0.5045,0.0
gHH,vdW-DF,0.5,1000,64.0,0.5335,0.00271693625
gHH,vdW-DF,0.5,1000,64.0,0.5625,0.02249411529412
gHH,vdW-DF,0.5,1000,64.0,0.5915,0.1914128941176
gHH,vdW-DF,0.5,1000,64.0,0.6205,0.7044943529412
gHH,vdW-DF,0.5,1000,64.0,0.6495,1.363970625
gHH,vdW-DF,0.5,1000,64.0,0.6785,1.810263529412
gHH,vdW-DF,0.5,1000,64.0,0.7075,1.927665882353
gHH,vdW-DF,0.5,1000,64.0,0.7365,1.808649411765
gHH,vdW-DF,0.5,1000,64.0,0.7655,1.593938125
gHH,vdW-DF,0.5,1000,64.0,0.7945,1.375684705882
gHH,vdW-DF,0.5,1000,64.0,0.8235,1.23797
gHH,vdW-DF,0.5,1000,64.0,0.8525,1.144625882353
gHH,vdW-DF,0.5,1000,64.0,0.8815,1.068116875
gHH,vdW-DF,0.5,1000,64.0,0.9105,1.019670117647
gHH,vdW-DF,0.5,1000,64.0,0.9395,0.9935321176471
gHH,vdW-DF,0.5,1000,64.0,0.9685,0.9623377058824
gHH,vdW-DF,0.5,1000,64.0,0.9975,0.944001875
gHH,vdW-DF,0.5,1000,64.0,1.0265,0.9260108235294
