pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHHe,vdW-DF,0.5,1000,64.0,0.2145,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.2435,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.2725,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.3015,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.3305,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.3595,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.3885,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.4175,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.4465,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.4755,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.5045,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.5335,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.5625,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.5915,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.6205,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.6495,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.6785,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.7075,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.7365,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.7655,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.7945,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.8235,0.0
gHHe,vdW-DF,0.5,1000,64.0,0.8525,0.0001915147058824
gHHe,vdW-DF,0.5,1000,64.0,0.8815,0.0003758125
gHHe,vdW-DF,0.5,1000,64.0,0.9105,0.001096892294118
gHHe,vdW-DF,0.5,1000,64.0,0.9395,0.002732516470588
gHHe,vdW-DF,0.5,1000,64.0,0.9685,0.009558703529412
gHHe,vdW-DF,0.5,1000,64.0,0.9975,0.02415960625
gHHe,vdW-DF,0.5,1000,64.0,1.0265,0.06491434705882
gHHe,vdW-DF,0.5,1000,64.0,1.0555,0.1387439411765
gHHe,vdW-DF,0.5,1000,64.0,1.0845,0.2494945294118
gHHe,vdW-DF,0.5,1000,64.0,1.1135,0.427086125
gHHe,vdW-DF,0.5,1000,64.0,1.1425,0.6528797058824
gHHe,vdW-DF,0.5,1000,64.0,1.1715,0.9719333529412
gHHe,vdW-DF,0.5,1000,64.0,1.2005,1.28988625
gHHe,vdW-DF,0.5,1000,64.0,1.2295,1.620415882353
gHHe,vdW-DF,0.5,1000,64.0,1.2585,1.904244117647
gHHe,vdW-DF,0.5,1000,64.0,1.2875,2.101332941176
gHHe,vdW-DF,0.5,1000,64.0,1.3165,2.2383275
gHHe,vdW-DF,0.5,1000,64.0,1.3455,2.240816470588
gHHe,vdW-DF,0.5,1000,64.0,1.3745,2.189315294118
gHHe,vdW-DF,0.5,1000,64.0,1.4035,2.081938823529
gHHe,vdW-DF,0.5,1000,64.0,1.4325,1.924510625
gHHe,vdW-DF,0.5,1000,64.0,1.4615,1.765175294118
gHHe,vdW-DF,0.5,1000,64.0,1.4905,1.574822941176
gHHe,vdW-DF,0.5,1000,64.0,1.5195,1.391312941176
gHHe,vdW-DF,0.5,1000,64.0,1.5485,1.247954375
gHHe,vdW-DF,0.5,1000,64.0,1.5775,1.120822352941
gHHe,vdW-DF,0.5,1000,64.0,1.6065,1.020843705882
gHHe,vdW-DF,0.5,1000,64.0,1.6355,0.9245297058824
gHHe,vdW-DF,0.5,1000,64.0,1.6645,0.8363524375
gHHe,vdW-DF,0.5,1000,64.0,1.6935,0.7790199411765
gHHe,vdW-DF,0.5,1000,64.0,1.7225,0.7288033529412
gHHe,vdW-DF,0.5,1000,64.0,1.7515,0.6828734705882
gHHe,vdW-DF,0.5,1000,64.0,1.7805,0.6451319375
gHHe,vdW-DF,0.5,1000,64.0,1.8095,0.6207712352941
gHHe,vdW-DF,0.5,1000,64.0,1.8385,0.6052974705882
gHHe,vdW-DF,0.5,1000,64.0,1.8675,0.6087127647059
gHHe,vdW-DF,0.5,1000,64.0,1.8965,0.6097189375
gHHe,vdW-DF,0.5,1000,64.0,1.9255,0.6169639411765
gHHe,vdW-DF,0.5,1000,64.0,1.9545,0.6436338823529
gHHe,vdW-DF,0.5,1000,64.0,1.9835,0.6804638823529
gHHe,vdW-DF,0.5,1000,64.0,2.0125,0.6868408125
gHHe,vdW-DF,0.5,1000,64.0,2.0415,0.7109124117647
gHHe,vdW-DF,0.5,1000,64.0,2.0705,0.7555980588235
gHHe,vdW-DF,0.5,1000,64.0,2.0995,0.8123951764706
gHHe,vdW-DF,0.5,1000,64.0,2.1285,0.88425575
gHHe,vdW-DF,0.5,1000,64.0,2.1575,0.9292047058824
gHHe,vdW-DF,0.5,1000,64.0,2.1865,0.9707637058824
gHHe,vdW-DF,0.5,1000,64.0,2.2155,0.9844621875
gHHe,vdW-DF,0.5,1000,64.0,2.2445,0.9783392941176
gHHe,vdW-DF,0.5,1000,64.0,2.2735,0.9452415294118
gHHe,vdW-DF,0.5,1000,64.0,2.3025,0.8961212941176
gHHe,vdW-DF,0.5,1000,64.0,2.3315,0.8357383125
gHHe,vdW-DF,0.5,1000,64.0,2.3605,0.7660468823529
gHHe,vdW-DF,0.5,1000,64.0,2.3895,0.6932234705882
gHHe,vdW-DF,0.5,1000,64.0,2.4185,0.6208497058824
gHHe,vdW-DF,0.5,1000,64.0,2.4475,0.5540366875
gHHe,vdW-DF,0.5,1000,64.0,2.4765,0.4922647647059
gHHe,vdW-DF,0.5,1000,64.0,2.5055,0.4431867058824
gHHe,vdW-DF,0.5,1000,64.0,2.5345,0.3948104705882
gHHe,vdW-DF,0.5,1000,64.0,2.5635,0.3508115625
gHHe,vdW-DF,0.5,1000,64.0,2.5925,0.3146427647059
gHHe,vdW-DF,0.5,1000,64.0,2.6215,0.2853785294118
gHHe,vdW-DF,0.5,1000,64.0,2.6505,0.2550524117647
gHHe,vdW-DF,0.5,1000,64.0,2.6795,0.23086
gHHe,vdW-DF,0.5,1000,64.0,2.7085,0.2050234705882
gHHe,vdW-DF,0.5,1000,64.0,2.7375,0.1820463529412
gHHe,vdW-DF,0.5,1000,64.0,2.7665,0.1575835882353
gHHe,vdW-DF,0.5,1000,64.0,2.7955,0.136575875
gHHe,vdW-DF,0.5,1000,64.0,2.8245,0.1178942941176
gHHe,vdW-DF,0.5,1000,64.0,2.8535,0.09798471764706
gHHe,vdW-DF,0.5,1000,64.0,2.8825,0.08071274705882
gHHe,vdW-DF,0.5,1000,64.0,2.9115,0.06916404375
gHHe,vdW-DF,0.5,1000,64.0,2.9405,0.05837453529412
gHHe,vdW-DF,0.5,1000,64.0,2.9695,0.04724828823529
gHHe,vdW-DF,0.5,1000,64.0,2.9985,0.04246004444444
gHHe,vdW-DF,0.5,1000,64.0,3.0275,nan
gHHe,vdW-DF,0.5,1000,64.0,3.0565,nan
gHHe,vdW-DF,0.5,1000,64.0,3.0855,nan
gHHe,vdW-DF,0.5,1000,64.0,3.1145,nan
gHHe,vdW-DF,0.5,1000,64.0,3.1435,nan
gHHe,vdW-DF,0.5,1000,64.0,3.1725,nan
gHHe,vdW-DF,0.5,1000,64.0,3.2015,nan
gHHe,vdW-DF,0.5,1000,64.0,3.2305,nan
gHHe,vdW-DF,0.5,1000,64.0,3.2595,nan
gHHe,vdW-DF,0.5,1000,64.0,3.2885,nan
gHHe,vdW-DF,0.5,1000,64.0,3.3175,nan
gHHe,vdW-DF,0.5,1000,64.0,3.3465,nan
gHHe,vdW-DF,0.5,1000,64.0,3.3755,nan
gHHe,vdW-DF,0.5,1000,64.0,3.4045,nan
gHHe,vdW-DF,0.5,1000,64.0,3.4335,nan
gHHe,vdW-DF,0.5,1000,64.0,3.4625,nan
gHHe,vdW-DF,0.5,1000,64.0,3.4915,nan
gHHe,vdW-DF,0.5,1000,64.0,3.5205,nan
gHHe,vdW-DF,0.5,1000,64.0,3.5495,nan
gHHe,vdW-DF,0.5,1000,64.0,3.5785,nan
gHHe,vdW-DF,0.5,1000,64.0,3.6075,nan
gHHe,vdW-DF,0.5,1000,64.0,3.6365,nan
gHHe,vdW-DF,0.5,1000,64.0,3.6655,nan
gHHe,vdW-DF,0.5,1000,64.0,3.6945,nan
gHHe,vdW-DF,0.5,1000,64.0,3.7235,nan
gHHe,vdW-DF,0.5,1000,64.0,3.7525,nan
gHHe,vdW-DF,0.5,1000,64.0,3.7815,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8105,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8395,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8685,nan
gHHe,vdW-DF,0.5,1000,64.0,3.8975,nan
gHHe,vdW-DF,0.5,1000,64.0,3.9265,nan
gHHe,vdW-DF,0.5,1000,64.0,3.9555,nan
gHHe,vdW-DF,0.5,1000,64.0,3.9845,nan
gHHe,vdW-DF,0.5,1000,64.0,4.0135,nan
gHHe,vdW-DF,0.5,1000,64.0,4.0425,nan
gHHe,vdW-DF,0.5,1000,64.0,4.0715,nan
