pair,method,x_he,temperature_K,volume_A3,r_A,g_r
gHeHe,vdW-DF,0.5,1000,64.0,0.2145,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.2435,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.2725,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.3015,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.3305,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.3595,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.3885,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.4175,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.4465,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.4755,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.5045,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.5335,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.5625,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.5915,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.6205,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.6495,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.6785,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.7075,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.7365,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.7655,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.7945,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.8235,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.8525,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.8815,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.9105,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.9395,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.9685,0.0
gHeHe,vdW-DF,0.5,1000,64.0,0.9975,0.0
gHeHe,vdW-DF,0.5,1000,64.0,1.0265,0.0
gHeHe,vdW-DF,0.5,1000,64.0,1.0555,0.001508475294118
gHeHe,vdW-DF,0.5,1000,64.0,1.0845,0.01036761294118
gHeHe,vdW-DF,0.5,1000,64.0,1.1135,0.07169369375
gHeHe,vdW-DF,0.5,1000,64.0,1.1425,0.2220634117647
gHeHe,vdW-DF,0.5,1000,64.0,1.1715,0.6251544117647
gHeHe,vdW-DF,0.5,1000,64.0,1.2005,1.3841901875
gHeHe,vdW-DF,0.5,1000,64.0,1.2295,2.357059411765
gHeHe,vdW-DF,0.5,1000,64.0,1.2585,3.400677647059
gHeHe,vdW-DF,0.5,1000,64.0,1.2875,4.134844705882
gHeHe,vdW-DF,0.5,1000,64.0,1.3165,4.4600775
gHeHe,vdW-DF,0.5,1000,64.0,1.3455,4.326704117647
gHeHe,vdW-DF,0.5,1000,64.0,1.3745,3.881977647059
gHeHe,vdW-DF,0.5,1000,64.0,1.4035,3.203231764706
gHeHe,vdW-DF,0.5,1000,64.0,1.4325,2.525348125
gHeHe,vdW-DF,0.5,1000,64.0,1.4615,1.953133529412
gHeHe,vdW-DF,0.5,1000,64.0,1.4905,1.396858235294
gHeHe,vdW-DF,0.5,1000,64.0,1.5195,0.9851228823529
gHeHe,vdW-DF,0.5,1000,64.0,1.5485,0.7386859375
gHeHe,vdW-DF,0.5,1000,64.0,1.5775,0.5535974705882
gHeHe,vdW-DF,0.5,1000,64.0,1.6065,0.4372292941176
gHeHe,vdW-DF,0.5,1000,64.0,1.6355,0.3659672941176
gHeHe,vdW-DF,0.5,1000,64.0,1.6645,0.3106373125
gHeHe,vdW-DF,0.5,1000,64.0,1.6935,0.2831305882353
gHeHe,vdW-DF,0.5,1000,64.0,1.7225,0.2760417058824
gHeHe,vdW-DF,0.5,1000,64.0,1.7515,0.2634017647059
gHeHe,vdW-DF,0.5,1000,64.0,1.7805,0.2392905625
gHeHe,vdW-DF,0.5,1000,64.0,1.8095,0.2406499411765
gHeHe,vdW-DF,0.5,1000,64.0,1.8385,0.2306142352941
gHeHe,vdW-DF,0.5,1000,64.0,1.8675,0.2452885882353
gHeHe,vdW-DF,0.5,1000,64.0,1.8965,0.2645801875
gHeHe,vdW-DF,0.5,1000,64.0,1.9255,0.2900721176471
gHeHe,vdW-DF,0.5,1000,64.0,1.9545,0.3022459411765
gHeHe,vdW-DF,0.5,1000,64.0,1.9835,0.3356247058824
gHeHe,vdW-DF,0.5,1000,64.0,2.0125,0.376304625
gHeHe,vdW-DF,0.5,1000,64.0,2.0415,0.425265
gHeHe,vdW-DF,0.5,1000,64.0,2.0705,0.4775573529412
gHeHe,vdW-DF,0.5,1000,64.0,2.0995,0.594436
gHeHe,vdW-DF,0.5,1000,64.0,2.1285,0.686968
gHeHe,vdW-DF,0.5,1000,64.0,2.1575,0.8005554705882
gHeHe,vdW-DF,0.5,1000,64.0,2.1865,0.9361655294118
gHeHe,vdW-DF,0.5,1000,64.0,2.2155,1.05826125
gHeHe,vdW-DF,0.5,1000,64.0,2.2445,1.138264117647
gHeHe,vdW-DF,0.5,1000,64.0,2.2735,1.173447058824
gHeHe,vdW-DF,0.5,1000,64.0,2.3025,1.133519411765
gHeHe,vdW-DF,0.5,1000,64.0,2.3315,1.0106625625
gHeHe,vdW-DF,0.5,1000,64.0,2.3605,0.8583292352941
gHeHe,vdW-DF,0.5,1000,64.0,2.3895,0.7571104117647
gHeHe,vdW-DF,0.5,1000,64.0,2.4185,0.6746028823529
gHeHe,vdW-DF,0.5,1000,64.0,2.4475,0.6215089375
gHeHe,vdW-DF,0.5,1000,64.0,2.4765,0.5791356470588
gHeHe,vdW-DF,0.5,1000,64.0,2.5055,0.5376597647059
gHeHe,vdW-DF,0.5,1000,64.0,2.5345,0.4888847058824
gHeHe,vdW-DF,0.5,1000,64.0,2.5635,0.42297425
gHeHe,vdW-DF,0.5,1000,64.0,2.5925,0.3706678235294
gHeHe,vdW-DF,0.5,1000,64.0,2.6215,0.3129551176471
gHeHe,vdW-DF,0.5,1000,64.0,2.6505,0.2688527647059
gHeHe,vdW-DF,0.5,1000,64.0,2.6795,0.2385814375
gHeHe,vdW-DF,0.5,1000,64.0,2.7085,0.2050027058824
gHeHe,vdW-DF,0.5,1000,64.0,2.7375,0.1806025882353
gHeHe,vdW-DF,0.5,1000,64.0,2.7665,0.1683447058824
gHeHe,vdW-DF,0.5,1000,64.0,2.7955,0.1501043125
gHeHe,vdW-DF,0.5,1000,64.0,2.8245,0.1288503529412
gHeHe,vdW-DF,0.5,1000,64.0,2.8535,0.1115241176471
gHeHe,vdW-DF,0.5,1000,64.0,2.8825,0.09774259411765
gHeHe,vdW-DF,0.5,1000,64.0,2.9115,0.0813365125
gHeHe,vdW-DF,0.5,1000,64.0,2.9405,0.06382722941176
gHeHe,vdW-DF,0.5,1000,64.0,2.9695,0.05046132941176
gHeHe,vdW-DF,0.5,1000,64.0,2.9985,0.04105608888889
gHeHe,vdW-DF,0.5,1000,64.0,3.0275,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.0565,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.0855,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.1145,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.1435,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.1725,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.2015,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.2305,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.2595,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.2885,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.3175,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.3465,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.3755,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.4045,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.4335,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.4625,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.4915,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.5205,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.5495,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.5785,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.6075,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.6365,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.6655,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.6945,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.7235,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.7525,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.7815,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.8105,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.8395,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.8685,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.8975,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.9265,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.9555,nan
gHeHe,vdW-DF,0.5,1000,64.0,3.9845,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.0135,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.0425,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.0715,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.1005,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.1295,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.1585,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.1875,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.2165,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.2455,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.2745,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.3035,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.3325,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.3615,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.3905,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.4195,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.4485,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.4775,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.5065,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.5355,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.5645,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.5935,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.6225,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.6515,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.6805,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.7095,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.7385,nan
gHeHe,vdW-DF,0.5,1000,64.0,4.7675,nan
