condition,quantity,model,index,x_he,y,yerr
150_5000,integrand_he,CACE,0,0.984375,0.48030103,0.06234274
150_5000,integrand_he,CACE,1,0.953125,0.49432839,0.03925621
150_5000,integrand_he,CACE,2,0.921875,0.44432019,0.0164531
150_5000,integrand_he,CACE,3,0.859375,0.42212237,0.01780067
150_5000,integrand_he,CACE,4,0.796875,0.37177474,0.00760752
150_5000,integrand_he,CACE,5,0.734375,0.31725263,0.00719507
150_5000,integrand_he,CACE,6,0.609375,0.17673573,0.00511079
150_5000,integrand_he,CACE,7,0.546875,0.10054386,0.00175183
150_5000,integrand_he,CACE,8,0.484375,0.06240253,0.00347496
150_5000,integrand_he,CACE,9,0.453125,0.04506701,0.00288107
150_5000,integrand_he,CACE,10,0.390625,0.02674408,0.00184125
150_5000,integrand_he,CACE,11,0.328125,0.01815005,0.00360974
150_5000,integrand_he,CACE,12,0.296875,0.01206975,0.00218394
150_5000,integrand_he,CACE,13,0.234375,0.02399275,0.00314687
150_5000,integrand_he,CACE,14,0.21875,0.02427674,0.00311065
150_5000,integrand_he,CACE,15,0.203125,0.02881217,0.00293169
150_5000,integrand_he,CACE,16,0.1875,0.03326979,0.00218572
150_5000,integrand_he,CACE,17,0.171875,0.0531388,0.00243758
150_5000,integrand_he,CACE,18,0.15625,0.05961632,0.00283818
150_5000,integrand_he,CACE,19,0.140625,0.09166298,0.00480166
150_5000,integrand_he,CACE,20,0.109375,0.17507593,0.00602638
150_5000,integrand_he,CACE,21,0.078125,0.31942987,0.01037027
150_5000,integrand_he,CACE,22,0.046875,0.51892417,0.02131419
150_5000,integrand_he,CACE,23,0.015625,0.78821588,0.05870264
150_5000,mu_he,CACE,0,0.984375,-0.00325249516,3.89538965e-05
150_5000,mu_he,CACE,1,0.953125,-0.0100611339,0.000158815713
150_5000,mu_he,CACE,2,0.921875,-0.0168370308,0.000198417373
150_5000,mu_he,CACE,3,0.859375,-0.0300089192,0.000313340974
150_5000,mu_he,CACE,4,0.796875,-0.0429896576,0.000412968456
150_5000,mu_he,CACE,5,0.734375,-0.0551763691,0.000478874219
150_5000,mu_he,CACE,6,0.609375,-0.0751354463,0.000671778228
150_5000,mu_he,CACE,7,0.546875,-0.0816328903,0.000705447048
150_5000,mu_he,CACE,8,0.484375,-0.0859151322,0.000731947513
150_5000,mu_he,CACE,9,0.453125,-0.0874671618,0.000735633468
150_5000,mu_he,CACE,10,0.390625,-0.0897751131,0.000770220982
150_5000,mu_he,CACE,11,0.328125,-0.0914701073,0.000818255194
150_5000,mu_he,CACE,12,0.296875,-0.092124962,0.000829335235
150_5000,mu_he,CACE,13,0.234375,-0.0939710564,0.000893731415
150_5000,mu_he,CACE,14,0.21875,-0.0946921589,0.000893098791
150_5000,mu_he,CACE,15,0.203125,-0.095544104,0.000894500863
150_5000,mu_he,CACE,16,0.1875,-0.0966200161,0.000894449016
150_5000,mu_he,CACE,17,0.171875,-0.098248294,0.000894928494
150_5000,mu_he,CACE,18,0.15625,-0.100575671,0.000901625892
150_5000,mu_he,CACE,19,0.140625,-0.104026877,0.000923524285
150_5000,mu_he,CACE,20,0.109375,-0.118542559,0.00104093139
150_5000,mu_he,CACE,21,0.078125,-0.154572988,0.00126462058
150_5000,mu_he,CACE,22,0.046875,-0.247308277,0.00171959328
150_5000,mu_he,CACE,23,0.015625,-0.558273238,0.00325935057
150_5000,mu_h,CACE,0,0.984375,-0.637782335,0.0135916907
150_5000,mu_h,CACE,1,0.953125,-0.405921223,0.00950988747
150_5000,mu_h,CACE,2,0.921875,-0.302091482,0.00540491639
150_5000,mu_h,CACE,3,0.859375,-0.191809102,0.00314604124
150_5000,mu_h,CACE,4,0.796875,-0.128592365,0.00203492054
150_5000,mu_h,CACE,5,0.734375,-0.0885662533,0.00146044211
150_5000,mu_h,CACE,6,0.609375,-0.0473120068,0.000848225881
150_5000,mu_h,CACE,7,0.546875,-0.0384003381,0.000670775904
150_5000,mu_h,CACE,8,0.484375,-0.0338411203,0.000550732629
150_5000,mu_h,CACE,9,0.453125,-0.0324718071,0.000479050791
150_5000,mu_h,CACE,10,0.390625,-0.030789056,0.000401725448
150_5000,mu_h,CACE,11,0.328125,-0.0298398684,0.000336058307
150_5000,mu_h,CACE,12,0.296875,-0.0295423569,0.00030089459
150_5000,mu_h,CACE,13,0.234375,-0.0288773587,0.000254170715
150_5000,mu_h,CACE,14,0.21875,-0.0286661927,0.000235590557
150_5000,mu_h,CACE,15,0.203125,-0.0284385393,0.00021913545
150_5000,mu_h,CACE,16,0.1875,-0.0281774936,0.000205299587
150_5000,mu_h,CACE,17,0.171875,-0.027821079,0.000193218058
150_5000,mu_h,CACE,18,0.15625,-0.0273646855,0.000181516373
150_5000,mu_h,CACE,19,0.140625,-0.0267635944,0.000168577179
150_5000,mu_h,CACE,20,0.109375,-0.024700499,0.000144360462
150_5000,mu_h,CACE,21,0.078125,-0.0210076526,0.00011539312
150_5000,mu_h,CACE,22,0.046875,-0.0149557597,8.11513269e-05
150_5000,mu_h,CACE,23,0.015625,-0.00582424347,3.30420642e-05
150_5000,integrand_he,N2P2,0,0.984375,0.49390415,0.12795044
150_5000,integrand_he,N2P2,1,0.953125,0.50866369,0.08312812
150_5000,integrand_he,N2P2,2,0.921875,0.47065968,0.04622428
150_5000,integrand_he,N2P2,3,0.796875,0.29120557,0.01731803
150_5000,integrand_he,N2P2,4,0.734375,0.2180061,0.01210948
150_5000,integrand_he,N2P2,5,0.609375,0.13588887,0.00749802
150_5000,integrand_he,N2P2,6,0.546875,0.10270081,0.00576859
150_5000,integrand_he,N2P2,7,0.484375,0.05200299,0.0038837
150_5000,integrand_he,N2P2,8,0.453125,0.05962405,0.00274254
150_5000,integrand_he,N2P2,9,0.421875,0.04186442,0.00358933
150_5000,integrand_he,N2P2,10,0.390625,0.01931233,0.0097496
150_5000,integrand_he,N2P2,11,0.359375,0.0275946,0.00263423
150_5000,integrand_he,N2P2,12,0.328125,0.03850089,0.00313248
150_5000,integrand_he,N2P2,13,0.296875,0.03059698,0.00475969
150_5000,integrand_he,N2P2,14,0.234375,0.05360985,0.0067014
150_5000,integrand_he,N2P2,15,0.21875,0.06013193,0.00678011
150_5000,integrand_he,N2P2,16,0.203125,0.06271631,0.00482729
150_5000,integrand_he,N2P2,17,0.1875,0.08614796,0.00430695
150_5000,integrand_he,N2P2,18,0.171875,0.06317966,0.00534134
150_5000,integrand_he,N2P2,19,0.15625,0.08979126,0.00991544
150_5000,integrand_he,N2P2,20,0.140625,0.11517089,0.01661506
150_5000,integrand_he,N2P2,21,0.109375,0.19788235,0.0140979
