P_GPa,T_K,omega1,omega1_err,omega2,omega2_err,omega3,omega3_err
1.500000000000000000e+02,2.000000000000000000e+03,4.371876875868883072e-01,2.332257301590838147e-03,6.643449220776054265e-02,8.861097229837480715e-03,1.905051673142174051e-01,1.261085679544098927e-02
1.500000000000000000e+02,3.000000000000000000e+03,6.317917803845363167e-01,3.967856045864818527e-03,1.080877595058303831e-01,1.227565171406539736e-02,2.391612945965664316e-01,1.586227604963623070e-02
1.500000000000000000e+02,4.000000000000000000e+03,8.218380217866906312e-01,5.271891940585344757e-03,1.197491300367356654e-01,9.317734407153967918e-03,2.501771142078922927e-01,1.532626719554211654e-02
1.500000000000000000e+02,5.000000000000000000e+03,1.000732028062704115e+00,2.785687702497583341e-03,7.976666873104321098e-02,6.181770513022830441e-03,2.733474897058205677e-01,1.242671137656484008e-02
1.500000000000000000e+02,6.000000000000000000e+03,1.135462037809850333e+00,2.967993364313771792e-03,1.791777602744356809e-02,5.161675260109657888e-03,2.541636220124548484e-01,1.161021068159314058e-02
1.500000000000000000e+02,7.000000000000000000e+03,1.205397416701127877e+00,4.735339114103176428e-03,-5.513237270720505734e-03,1.123425876449559400e-02,2.387577267376820300e-01,2.327187617554019039e-02
1.500000000000000000e+02,8.000000000000000000e+03,1.312897870126814137e+00,4.682584438967886398e-03,-6.229252941798669313e-02,1.071726503094919819e-02,2.872904084029765936e-01,2.363578164044826888e-02
1.500000000000000000e+02,9.000000000000000000e+03,1.346881509207895622e+00,5.511056664614388118e-03,-1.267643128041333611e-01,1.261343068790835714e-02,2.566460908066134916e-01,2.781757310924016027e-02
2.000000000000000000e+02,2.000000000000000000e+03,4.508617929489069365e-01,4.555710656857534652e-03,7.082440414914736859e-02,1.009293682081560672e-02,2.025116941617722821e-01,1.308707027358942121e-02
2.000000000000000000e+02,3.000000000000000000e+03,6.571713463410144840e-01,5.303168432990721000e-03,1.070889936382540819e-01,1.192760277109307897e-02,2.424374009219897319e-01,1.497911875230466955e-02
2.000000000000000000e+02,4.000000000000000000e+03,8.549128312011768926e-01,9.730950332819669757e-03,6.651788234732680660e-02,1.524267780948219270e-02,2.776280589683016720e-01,2.441162373828774032e-02
2.000000000000000000e+02,5.000000000000000000e+03,1.034321825507638959e+00,7.276234459673783760e-03,9.414344888098180597e-02,9.349950425803481985e-03,2.890206369581075352e-01,1.751746370736036174e-02
2.000000000000000000e+02,6.000000000000000000e+03,1.210912608702371607e+00,2.412287127595163973e-03,3.632180367627724227e-02,4.691684288586816555e-03,2.667315977861908216e-01,9.979916478936897220e-03
2.000000000000000000e+02,7.000000000000000000e+03,1.309216128920801525e+00,3.864974199782007097e-03,-2.980587243190272947e-02,7.790343867552161974e-03,2.452322015099877572e-01,1.633653566255265088e-02
2.000000000000000000e+02,8.000000000000000000e+03,1.386593454359241528e+00,3.837469055515496316e-03,-7.021923080536640605e-02,7.798266773560538420e-03,2.815293268029879226e-01,1.630396941577522477e-02
2.000000000000000000e+02,9.000000000000000000e+03,1.458928613659199680e+00,4.202750153685461815e-03,-1.159117380941280528e-01,8.540567715358351325e-03,2.866007798536391316e-01,1.785591208188598566e-02
2.000000000000000000e+02,1.000000000000000000e+04,1.511589250436321752e+00,6.500923016825679336e-03,-2.069280379654429569e-01,1.412633458316957247e-02,3.254082787604238303e-01,2.943733127359680554e-02
4.000000000000000000e+02,8.000000000000000000e+03,1.550438793692490380e+00,5.626936790829466933e-03,-8.754073448242839783e-02,1.137915357317040646e-02,2.610595712929029699e-01,2.345845703016403994e-02
