Pressure,Temperature,x_He
100.0,2593.75,0.089
150.0,3511.0220440881767,0.089
200.0,4177.042609809783,0.089
250.0,4270.491803278688,0.089
300.0,4311.111111111111,0.089
350.0,4344.444444444444,0.089
400.0,4378.267646403919,0.089
450.0,4472.222222222222,0.089
500.0,4566.666666666667,0.089
550.0,4607.142857142858,0.089
600.0,4607.198524032192,0.089
650.0,4616.071428571428,0.089
700.0,5019.607843137255,0.089
750.0,5137.254901960784,0.089
800.0,5175.662135080973,0.089
850.0,5175.662135080973,0.089
900.0,5175.662135080973,0.089
950.0,5175.662135080973,0.089
1000.0,5175.662135080973,0.089
