Pressure,Temperature,x_He
150.0,3304.347826086956,0.089
200.0,3569.4835048247755,0.089
250.0,3807.142857142857,0.089
300.0,4041.666666666667,0.089
350.0,4270.833333333333,0.089
400.0,4497.573578529608,0.089
450.0,4498.663994655979,0.089
500.0,4498.663994655979,0.089
550.0,4498.663994655979,0.089
600.0,4498.663994655979,0.089
650.0,4498.663994655979,0.089
700.0,4498.663994655979,0.089
750.0,4533.333333333333,0.089
800.0,4566.116546819128,0.089
850.0,4566.199064796259,0.089
900.0,4566.199064796259,0.089
950.0,4566.199064796259,0.089
1000.0,4566.199064796259,0.089
