Pressure,Temperature,x_He
350.0,2318.9655172413795,0.05
400.0,2378.993280679005,0.05
450.0,2387.9310344827586,0.05
500.0,2396.5517241379307,0.05
550.0,2750.0,0.05
600.0,3123.6848697394794,0.05
650.0,3123.6848697394794,0.05
700.0,3123.6848697394794,0.05
750.0,3123.6848697394794,0.05
800.0,3123.6848697394794,0.05
850.0,3123.6848697394794,0.05
900.0,3123.6848697394794,0.05
950.0,3123.6848697394794,0.05
1000.0,3123.6848697394794,0.05
150.0,2606.0606060606065,0.089
200.0,3468.2875555031633,0.089
250.0,3708.333333333333,0.089
300.0,3950.0,0.089
350.0,4136.9047619047615,0.089
400.0,4308.648108542014,0.089
450.0,4339.285714285715,0.089
500.0,4369.047619047619,0.089
550.0,4433.823529411765,0.089
600.0,4529.084119796687,0.089
650.0,4558.823529411765,0.089
700.0,4588.235294117647,0.089
750.0,4599.675541559309,0.089
800.0,4599.675541559309,0.089
850.0,4599.675541559309,0.089
900.0,4599.675541559309,0.089
950.0,4599.675541559309,0.089
1000.0,4599.675541559309,0.089
300.0,4803.149606299213,0.15
350.0,5050.72463768116,0.15
400.0,5462.257849031396,0.15
450.0,5630.434782608696,0.15
500.0,5797.101449275362,0.15
550.0,5963.768115942029,0.15
600.0,6069.326066633952,0.15
650.0,6139.7058823529405,0.15
700.0,6147.058823529412,0.15
750.0,6154.411764705882,0.15
800.0,6162.887193071263,0.15
850.0,6305.147058823529,0.15
900.0,6412.5,0.15
950.0,6481.25,0.15
1000.0,6550.0,0.15
450.0,6127.604166666666,0.2
500.0,6187.5,0.2
550.0,6248.149153699556,0.2
600.0,6456.922965858758,0.2
650.0,6579.457364341085,0.2
700.0,6701.5503875969,0.2
750.0,6823.643410852714,0.2
800.0,6898.1813107183225,0.2
850.0,7033.950617283951,0.2
900.0,7154.3209876543215,0.2
950.0,7274.691358024691,0.2
1000.0,7395.061728395061,0.2
500.0,6447.916666666666,0.25
550.0,6633.720930232557,0.25
600.0,6844.519865083565,0.25
650.0,6967.054263565891,0.25
700.0,7205.357142857143,0.25
750.0,7486.607142857142,0.25
800.0,7766.052062107407,0.25
850.0,7830.357142857142,0.25
900.0,7892.857142857143,0.25
950.0,7955.357142857143,0.25
